fp_bits,fp_density,fp_gen_secs,train_frac,repeat,n_pos_train,n_neg_train,n_pos_test,n_neg_test,model,inner_cv_splits,inner_cv_metric,inner_cv_mean,best_params,fit_secs,pred_secs,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate
1024,0.045539844781160355,2.3731164932250977,0.6,0,226,452,94,188,RandomForest,5,roc_auc,0.8850330378156464,"{""max_depth"": 10, ""n_estimators"": 500}",1.7415623664855957,0.050376176834106445,0.889429606156632,0.7012354205684057,0.7087084404380763,0.776595744680851,0.5935483870967742,0.4689371860016038,0.48936170212765956,0.7540983606557377,173,15,48,46,0.0797872340425532
1024,0.045539844781160355,2.3731164932250977,0.6,1,226,452,94,188,XGBoost,5,roc_auc,0.9113724761550849,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",1.524482250213623,0.0016934871673583984,0.8951448619284745,0.766609937490337,0.7684270672916729,0.8085106382978723,0.7032967032967034,0.5628285773640647,0.6808510638297872,0.7272727272727273,164,24,30,64,0.1276595744680851
1024,0.045539844781160355,2.3731164932250977,0.6,1,226,452,94,188,LogReg,5,roc_auc,0.8906868043389782,"{""C"": 0.01}",0.31256794929504395,0.0012850761413574219,0.8706994114984156,0.737208506437383,0.7388550543114838,0.7801418439716312,0.6352941176470588,0.4860075848265562,0.574468085106383,0.7105263157894737,166,22,40,54,0.11702127659574468
1024,0.045539844781160355,2.3731164932250977,0.6,1,226,452,94,188,SVM,5,roc_auc,0.879692508243233,"{""C"": 0.1, ""kernel"": ""rbf""}",3.377781867980957,0.0417935848236084,0.8545156179266636,0.6776542979156861,0.6827631342848713,0.776595744680851,0.6134969325153374,0.47244980487470645,0.5319148936170213,0.7246376811594203,169,19,44,50,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.6,1,226,452,94,188,RandomForest,5,roc_auc,0.8989241032719294,"{""max_depth"": 20, ""n_estimators"": 500}",1.7887554168701172,0.050507545471191406,0.8830918967858759,0.6991023791304225,0.7041366064768817,0.7907801418439716,0.6424242424242425,0.5083903194476499,0.5638297872340425,0.7464788732394366,170,18,41,53,0.09574468085106383
1024,0.045539844781160355,2.3731164932250977,0.6,2,226,452,94,188,XGBoost,5,roc_auc,0.9038523355334949,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",1.4732284545898438,0.0013897418975830078,0.9026708918062472,0.7524857542837253,0.7560715170531472,0.8368794326241135,0.7444444444444445,0.6263334138660549,0.7127659574468085,0.7790697674418605,169,19,27,67,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.6,2,226,452,94,188,LogReg,5,roc_auc,0.8473925430447169,"{""C"": 0.01}",0.3429911136627197,0.0007443428039550781,0.8966727025803531,0.7713159751308873,0.7731385906817959,0.8014184397163121,0.6626506024096386,0.5348008084903245,0.5851063829787234,0.7638888888888888,171,17,39,55,0.09042553191489362
1024,0.045539844781160355,2.3731164932250977,0.6,2,226,452,94,188,SVM,5,roc_auc,0.8371910955389217,"{""C"": 0.1, ""kernel"": ""rbf""}",3.2392830848693848,0.03922319412231445,0.8771502942507922,0.7004161293479183,0.705786534912217,0.7659574468085106,0.5875,0.4441681590741884,0.5,0.7121212121212122,169,19,47,47,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.6,2,226,452,94,188,RandomForest,5,roc_auc,0.8858764724271971,"{""max_depth"": 10, ""n_estimators"": 500}",1.6801376342773438,0.04984593391418457,0.8975215029425079,0.7523933471745559,0.7556467678794561,0.7695035460992907,0.5806451612903226,0.4506669060275153,0.4787234042553192,0.7377049180327869,172,16,49,45,0.0851063829787234
1024,0.045539844781160355,2.3731164932250977,0.8,0,301,602,94,188,XGBoost,5,roc_auc,0.9073459445422933,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",1.799973487854004,0.0017499923706054688,0.9016523313716615,0.7342427433073759,0.7375047528052365,0.8156028368794326,0.7078651685393258,0.5757077330897978,0.6702127659574468,0.75,167,21,31,63,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.8,0,301,602,94,188,LogReg,5,roc_auc,0.8707730960875522,"{""C"": 0.01}",0.5516786575317383,0.0007338523864746094,0.8861475780896333,0.7648693144756009,0.7666043367762055,0.7978723404255319,0.6627218934911243,0.5277790490704241,0.5957446808510638,0.7466666666666667,169,19,38,56,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.8,0,301,602,94,188,SVM,5,roc_auc,0.8608620143310903,"{""C"": 0.1, ""kernel"": ""rbf""}",8.800596237182617,0.05251312255859375,0.8688886373924852,0.6970528139204577,0.7041694699539457,0.7695035460992907,0.6107784431137725,0.4579735708215946,0.5425531914893617,0.6986301369863014,166,22,43,51,0.11702127659574468
1024,0.045539844781160355,2.3731164932250977,0.8,0,301,602,94,188,RandomForest,5,roc_auc,0.891229590991886,"{""max_depth"": 10, ""n_estimators"": 500}",1.9576048851013184,0.04919147491455078,0.8855251244907199,0.7136136983686642,0.7207220916878847,0.7801418439716312,0.6075949367088608,0.4789131426105757,0.5106382978723404,0.75,172,16,46,48,0.0851063829787234
1024,0.045539844781160355,2.3731164932250977,0.8,1,301,602,94,188,XGBoost,5,roc_auc,0.8985247011847235,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",1.7896740436553955,0.0015969276428222656,0.9102252150294251,0.7748151018328789,0.7769644725668179,0.8333333333333334,0.7486631016042781,0.6240199689585151,0.7446808510638298,0.7526881720430108,165,23,24,70,0.12234042553191489
1024,0.045539844781160355,2.3731164932250977,0.8,1,301,602,94,188,LogReg,5,roc_auc,0.8562877451865901,"{""C"": 0.01}",0.6619002819061279,0.0007317066192626953,0.8936170212765959,0.754701304802386,0.7575205896357359,0.8085106382978723,0.6931818181818182,0.557679206677975,0.648936170212766,0.7439024390243902,167,21,33,61,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.8,1,301,602,94,188,SVM,5,roc_auc,0.8483263578407021,"{""C"": 0.1, ""kernel"": ""rbf""}",8.825017929077148,0.0521242618560791,0.8712086917157085,0.6862901605544851,0.6934196648875506,0.7730496453900709,0.6235294117647059,0.4690538318674903,0.5638297872340425,0.6973684210526315,165,23,41,53,0.12234042553191489
1024,0.045539844781160355,2.3731164932250977,0.8,1,301,602,94,188,RandomForest,5,roc_auc,0.8791632739466196,"{""max_depth"": 10, ""n_estimators"": 500}",1.9209046363830566,0.04852557182312012,0.8872793119058398,0.6873302419373818,0.6950641211188311,0.7801418439716312,0.6219512195121951,0.48177708997054347,0.5425531914893617,0.7285714285714285,169,19,43,51,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.8,2,301,602,94,188,XGBoost,5,roc_auc,0.9000859733700644,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 300}",2.0136594772338867,0.0025603771209716797,0.9061792666364871,0.7716063158929733,0.7740626000076879,0.8191489361702128,0.7150837988826816,0.5846907240234213,0.6808510638297872,0.7529411764705882,167,21,30,64,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.8,2,301,602,94,188,LogReg,5,roc_auc,0.8621941189089103,"{""C"": 0.01}",0.664365291595459,0.0007405281066894531,0.8919760072430963,0.7571082838588158,0.7602789410062853,0.8226950354609929,0.7093023255813954,0.5885886947467733,0.648936170212766,0.782051282051282,171,17,33,61,0.09042553191489362
